ID,country,owner_age,attitude_stable_business_environment,attitude_worried_shutdown,compliance_income_tax,perception_insurance_doesnt_cover_losses,perception_cannot_afford_insurance,personal_income,business_expenses,business_turnover,business_age_years,motor_vehicle_insurance,has_mobile_money,current_problem_cash_flow,has_cellphone,owner_sex,offers_credit_to_customers,attitude_satisfied_with_achievement,has_credit_card,keeps_financial_records,perception_insurance_companies_dont_insure_businesses_like_yours,perception_insurance_important,has_insurance,covid_essential_service,attitude_more_successful_next_year,problem_sourcing_money,marketing_word_of_mouth,has_loan_account,has_internet_banking,has_debit_card,future_risk_theft_stock,business_age_months,medical_insurance,funeral_insurance,motivation_make_more_money,uses_friends_family_savings,uses_informal_lender,Target
ID_RCQ6OB,D,37,Yes,Yes,No,Yes,No,220,900,2700,7,Never had,Have now,NA,Yes,Male,"Yes, always",No,Never had,"Yes, sometimes",Yes,Yes,No,Yes,NA,NA,NA,NA,NA,NA,No,0,Never had,Never had,NA,NA,NA,Low
ID_HE8JVR,C,27,Yes,No,Yes,No,No,400000,50000,36500000,2,NA,Have now,No,Yes,Male,"Yes, always",Yes,Never had,Yes,No,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,Yes,NA,NA,NA,Yes,NA,NA,Low
ID_C6JWCZ,C,36,Yes,Yes,No,Yes,Yes,100000,10000,25000,2,NA,Have now,Yes,Yes,Male,No,Yes,Never had,No,Yes,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,No,NA,NA,NA,Yes,NA,NA,Low
ID_T6HIBO,D,47,Yes,Yes,No,Don't know,Don't know,30,480,840,2,Never had,NA,Yes,Yes,Female,"Yes, sometimes",Yes,Never had,No,Don't know,Do not know / N‎/A,No,No,NA,NA,NA,NA,NA,NA,No,3,Never had,Never had,NA,NA,NA,Low
ID_TCM2VS,C,42,No,No,Yes,Yes,No,1250000,2500000,15000000,16,NA,Have now,No,Yes,Female,"Yes, sometimes",Yes,Never had,Yes,No,Yes,No,NA,Yes,Yes,No,Never had,Never had,Never had,No,NA,NA,NA,No,NA,NA,Low
ID_ADN2TV,B,50,No,No,No,Don't know,Yes,2000,400,1000,2,Never had,Have now,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,Yes,No,Yes,Used to have but don't have now,Have now,Have now,NA,NA,NA,NA,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_3CVS3Z,A,52,No,No,No,No,Yes,3500,2000,3500,1,Never had,Have now,Yes,Yes,Female,No,Yes,Never had,"Yes, sometimes",No,Yes,No,No,Yes,Yes,Yes,Used to have but don’t have now,Never had,Never had,NA,0,Never had,Never had,NA,Used to have but don’t have now,Never had,Low
ID_1F2GQN,C,29,Don’t know or N/A,No,No,No,Yes,630000,6000000,7560000,2,NA,Have now,No,No,Male,No,No,Never had,No,No,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,No,NA,NA,NA,No,NA,NA,High
ID_R04HHE,A,36,Yes,No,No,No,Yes,13000,11000,13000,3,Never had,Have now,Yes,Yes,Male,"Yes, sometimes",Yes,Never had,"Yes, sometimes",No,Yes,No,No,Yes,Yes,Yes,Used to have but don’t have now,Never had,Never had,NA,6,Never had,Have now,NA,Never had,Have now,Medium
ID_37E4EY,B,22,Yes,No,No,Don't know,Yes,1500,2000,5000,5,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,Used to have but don't have now,Used to have but don't have now,Have now,Yes,NA,NA,NA,No,Used to have but don't have now,Used to have but don't have now,Low
ID_7XR49V,D,29,No,No,No,Yes,Yes,45,720,2520,3,Never had,NA,NA,No,Female,"Yes, sometimes",No,Never had,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,No,2,Never had,Have now,Yes,NA,NA,Medium
ID_BES81D,C,36,Don’t know or N/A,No,No,Don't know,Don't know,450000,50000,5400000,3,NA,Never had,No,Yes,Female,No,Yes,Never had,No,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,NA,Don't know,No,No,Never had,Never had,Never had,No,NA,NA,NA,Yes,NA,NA,Low
ID_RUTVLY,A,54,Yes,No,No,No,Yes,2500,4500,7000,18,Never had,Have now,Yes,Yes,Female,"Yes, sometimes",Yes,Never had,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Never had,Never had,Never had,NA,5,Never had,Never had,NA,Never had,Never had,Low
ID_OVB1ZJ,B,39,No,No,No,Don't know,Yes,300,105,185,3,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,Used to have but don't have now,Used to have but don't have now,Used to have but don't have now,Yes,NA,NA,NA,No,Used to have but don't have now,Used to have but don't have now,Low
ID_UD99XR,A,26,Yes,Yes,No,Yes,Yes,1000,105600,156000,3,Never had,Never had,Yes,Yes,Male,"Yes, sometimes",No,Never had,"Yes, sometimes",No,Yes,No,Yes,Yes,Yes,Yes,Never had,Never had,Never had,NA,8,Never had,Never had,NA,Have now,Never had,Low
ID_UJ4FQK,B,46,Don’t know or N/A,No,No,No,Yes,4900,550,5500,13,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_N1924H,C,38,Don’t know or N/A,No,No,Don't know,No,240000,200000,240000,16,Have now,Have now,Yes,Yes,Male,"Yes, sometimes",Yes,Never had,No,Yes,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,Yes,NA,Never had,Never had,No,NA,NA,Medium
ID_XPUDC6,A,49,Yes,No,No,No,No,4100,20000,50000,15,Never had,Never had,Yes,Yes,Female,"Yes, sometimes",No,Never had,"Yes, always",No,Yes,No,No,Yes,Yes,Yes,Never had,Never had,Never had,NA,5,Never had,Never had,NA,Never had,Never had,Low
ID_5VZ90F,C,28,No,Yes,Yes,No,Yes,1000000,200000,450000,5,NA,Never had,Yes,Yes,Female,"Yes, sometimes",No,Never had,Yes,Yes,Yes,No,NA,No,No,No,Never had,Never had,Never had,Yes,NA,NA,NA,Yes,NA,NA,Medium
ID_KBVXSO,A,56,Yes,Yes,Yes,Yes,Yes,2500,30000,80000,31,Never had,Have now,Yes,Yes,Male,"Yes, sometimes",No,Never had,"Yes, always",Yes,Yes,No,No,Yes,Yes,NA,Never had,Never had,Never had,NA,1,Never had,Never had,NA,Never had,Never had,Low
ID_TLD6F0,B,33,Yes,Yes,No,Don't know,Don't know,84,48,138,1,Never had,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Used to have but don't have now,Used to have but don't have now,Medium
ID_3RSVZ2,A,35,Yes,No,Yes,No,No,11000,60000,100000,2,Never had,Have now,0,Yes,Female,No,Yes,Never had,"Yes, always",No,Yes,Yes,Don't know,Yes,Yes,NA,Used to have but don’t have now,Have now,Have now,NA,1,Never had,Have now,NA,Have now,Used to have but don’t have now,Medium
ID_TOG1WK,D,39,No,No,No,Yes,Yes,200,1800,2400,10,Never had,NA,NA,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",Don't know,No,No,Yes,NA,NA,NA,NA,NA,NA,No,0,Used to have but don't have now,Used to have but don't have now,NA,NA,NA,Low
ID_514GIU,C,27,No,Yes,No,Don't know,Don't know,150000,15000,1800000,5,Never had,Never had,No,No,Male,"Yes, sometimes",No,Never had,No,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,NA,No,Yes,No,Never had,Never had,Never had,No,NA,Never had,Never had,Yes,NA,NA,Low
ID_1V9L29,D,40,Yes,No,No,Yes,Yes,80,1800,3600,2,Never had,NA,NA,Yes,Female,"Yes, sometimes",Yes,Never had,No,Yes,Yes,No,No,NA,NA,NA,NA,NA,NA,Yes,0,Never had,Never had,NA,NA,NA,Low
ID_FO8IPC,D,20,No,Yes,No,Don't know,No,400,3000,4200,2,Never had,Have now,NA,Yes,Male,"Yes, sometimes",Yes,Never had,"Yes, always",No,Do not know / N‎/A,No,No,NA,NA,NA,NA,NA,NA,No,0,Never had,Have now,NA,NA,NA,Medium
ID_RGUCBF,C,54,Yes,No,No,No,Yes,20000,15000,20000,5,NA,Never had,No,Yes,Female,"Yes, sometimes",Yes,Never had,No,Yes,Yes,No,NA,Yes,Yes,No,Never had,Never had,Never had,No,NA,NA,NA,Yes,NA,NA,Low
ID_83AMB3,A,54,Yes,No,Yes,No,No,30000,600000,1200000,11,Never had,Have now,Yes,Yes,Male,No,Yes,Never had,"Yes, always",No,Yes,Yes,Yes,Yes,Yes,Yes,Used to have but don’t have now,Have now,Never had,NA,2,Have now,Have now,NA,Used to have but don’t have now,Never had,High
ID_106AK3,A,58,Yes,No,No,Yes,Yes,1800,2800,5500,7,Never had,Have now,Yes,Yes,Female,No,Yes,Never had,"Yes, sometimes",Yes,Yes,No,Don't know,Yes,NA,Yes,Have now,Never had,Never had,NA,3,Never had,Never had,NA,Never had,Never had,Medium
ID_45J69T,C,26,No,Yes,Yes,No,Yes,600000,2400000,7200000,4,NA,Have now,No,Yes,Female,"Yes, sometimes",No,Never had,Yes,No,Yes,No,NA,Yes,Yes,No,Have now,Never had,Used to have but don't have now,No,NA,NA,NA,Yes,Have now,Never had,Medium
ID_U4YQ5T,B,52,Yes,No,Yes,No,Yes,97,97,97,12,Never had,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,Used to have but don't have now,Have now,Have now,NA,NA,NA,NA,No,Used to have but don't have now,Used to have but don't have now,Low
ID_Q2YVMZ,B,53,Don’t know or N/A,No,No,Don't know,Don't know,40500,20000,20500,5,Never had,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,Used to have but don't have now,Used to have but don't have now,Used to have but don't have now,NA,NA,NA,NA,No,Used to have but don't have now,Used to have but don't have now,Low
ID_NEBR49,D,34,Yes,Don’t know or N/A,No,No,Yes,300,2160,3600,2,Have now,NA,NA,Yes,Female,No,No,Never had,"Yes, sometimes",No,Yes,No,No,NA,NA,NA,NA,NA,NA,No,0,Never had,Never had,NA,NA,NA,Medium
ID_9KKH4A,A,46,Yes,Yes,Yes,Yes,Yes,3000,150,600,4,Never had,Never had,Yes,Yes,Male,No,Yes,Have now,"Yes, sometimes",Yes,Yes,No,Yes,Yes,Yes,Yes,Never had,Never had,Have now,NA,11,Never had,Never had,NA,Never had,Never had,Medium
ID_9212PG,A,37,Yes,No,No,No,Yes,5000,4500,80000,8,Never had,Have now,0,No,Male,"Yes, sometimes",Yes,Never had,"Yes, always",No,Yes,No,No,Yes,Yes,Yes,Never had,Never had,Never had,NA,2,Never had,Never had,NA,Never had,Never had,Low
ID_5D0P92,A,40,No,Yes,No,No,Yes,550,1000,7000,20,Never had,Never had,0,Yes,Male,No,No,Never had,No,No,Yes,No,No,Yes,Yes,NA,Never had,Never had,Never had,NA,2,Never had,Never had,NA,Never had,Never had,Low
ID_WR2Z0A,B,24,No,No,Yes,No,No,28000,12000,25000,2,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,Used to have but don't have now,Used to have but don't have now,Low
ID_7IDI09,B,67,No,Yes,No,Don't know,Yes,97,97,97,15,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Never had,Never had,Low
ID_MBESB2,B,54,Yes,No,No,No,No,30000,4500,4000,16,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,Used to have but don't have now,Have now,Have now,Yes,NA,NA,NA,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_ZG9BEK,C,33,Yes,Yes,No,No,No,200000,40000,45000,11,NA,Have now,No,Yes,Female,"Yes, sometimes",Yes,Never had,Yes,Don?t know / doesn?t apply,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,No,NA,NA,NA,Yes,NA,NA,Low
ID_9N21ZQ,D,54,Yes,No,No,Don't know,Yes,10,60,120,20,Never had,NA,NA,No,Female,"Yes, sometimes",No,Never had,"Yes, sometimes",Don't know,Do not know / N‎/A,No,No,NA,NA,NA,NA,NA,NA,No,0,Never had,Never had,Yes,NA,NA,Low
ID_JF4CIW,A,29,No,No,No,No,Yes,500,40,150,0,Never had,Have now,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,Yes,Yes,No,No,Yes,Yes,Yes,Used to have but don’t have now,Never had,Never had,NA,3,Never had,Have now,NA,Never had,Never had,Medium
ID_46NZ3H,B,31,Yes,No,No,Don't know,Don't know,2500,1500,5000,8,Never had,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,Used to have but don't have now,Used to have but don't have now,Medium
ID_YI038Z,B,34,Yes,Yes,No,Don't know,Yes,196,100,196,1,Never had,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Used to have but don't have now,Used to have but don't have now,Medium
ID_STVS9Q,B,29,No,No,No,Don't know,Don't know,5000,700,1000,2,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Don't know,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,Have now,Never had,Medium
ID_8BP6NL,A,22,Yes,No,No,No,Yes,500,1600,1500,3,Never had,Have now,Yes,Yes,Male,"Yes, sometimes",No,Never had,"Yes, sometimes",No,Yes,No,Don't know,Yes,Yes,Yes,Never had,Never had,Never had,NA,3,Never had,Never had,NA,Used to have but don’t have now,Never had,Low
ID_IFRPU6,D,24,Yes,No,No,No,Yes,300,1800,3000,2,Never had,NA,NA,Yes,Male,"Yes, always",Yes,Never had,No,No,Yes,No,No,NA,NA,NA,NA,NA,NA,No,0,Never had,Never had,NA,NA,NA,Low
ID_7H0POS,C,44,No,Yes,Yes,Don't know,Don't know,260000,22200,3200000,6,NA,Have now,No,No,Male,No,Yes,Never had,Yes,Don?t know / doesn?t apply,No,No,NA,Yes,Yes,No,Never had,Never had,Used to have but don't have now,No,NA,NA,NA,No,NA,NA,Medium
ID_DXG97S,C,40,Yes,Yes,No,No,Yes,360000,3600000,4320000,18,NA,Never had,Yes,Yes,Male,No,No,Never had,No,Yes,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,No,NA,NA,NA,Yes,NA,NA,Low
ID_IYHOSD,C,23,Don’t know or N/A,No,No,Don't know,Don't know,50000,300000,420000,2,NA,Have now,No,No,Female,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,NA,Don't know,No,No,Never had,Never had,Never had,No,NA,NA,NA,Yes,NA,NA,Low
ID_19ILPE,C,32,Yes,No,No,No,No,75000,5000,7500,3,NA,Have now,No,Yes,Female,"Yes, sometimes",No,Never had,No,Yes,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,No,NA,NA,NA,Yes,NA,NA,Low
ID_JD1X4N,D,42,Yes,No,No,No,No,625,1000,7000,7,Never had,NA,NA,Yes,Female,No,Yes,Have now,"Yes, sometimes",No,Yes,No,No,NA,NA,NA,NA,NA,NA,No,0,Never had,Never had,Yes,NA,NA,Medium
ID_HQ6DG8,A,53,Don’t know or N/A,No,Yes,Yes,Yes,11200,700,1500,7,Never had,Never had,Yes,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",Yes,No,No,Yes,Yes,Yes,Yes,Don’t know (Do not show),Never had,Never had,NA,2,Never had,Never had,NA,Used to have but don’t have now,Never had,Low
ID_4XZPR6,C,42,No,No,No,Don't know,Don't know,4200000,35000000,50400000,2,NA,Have now,No,No,Male,No,Yes,Never had,No,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,NA,Yes,Yes,No,Never had,Never had,Never had,No,NA,NA,NA,Yes,NA,NA,Low
ID_C5KTSI,C,35,No,Yes,No,No,Yes,60000,250000,480000,15,NA,Have now,No,Yes,Male,"Yes, always",No,Never had,No,Yes,Don?t know / doesn?t apply,No,NA,Yes,Yes,No,Never had,Never had,Never had,No,NA,NA,NA,No,NA,NA,Low
ID_MSDN1M,A,35,No,No,No,Yes,Yes,3000,1000,7000,2,Never had,Have now,Yes,Yes,Male,No,Yes,Never had,"Yes, sometimes",No,No,No,Yes,Yes,Yes,Yes,Never had,Never had,Have now,NA,11,Never had,Have now,NA,Never had,Never had,Medium
ID_HM4KT6,D,28,Yes,Yes,No,No,Yes,400,3000,4800,2,Never had,NA,Yes,No,Female,"Yes, sometimes",Yes,Never had,"Yes, always",No,Do not know / N‎/A,No,No,NA,NA,NA,NA,NA,NA,No,5,Never had,Never had,NA,NA,NA,Low
ID_E9FI3M,C,34,No,Yes,Yes,No,No,720000,7000000,8640000,2,NA,Have now,No,Yes,Male,"Yes, sometimes",No,Never had,Yes,No,Yes,No,NA,Yes,No,No,Never had,Never had,Have now,No,NA,NA,NA,Yes,NA,NA,Low
ID_B1YQ2X,D,28,Yes,No,No,Yes,Yes,100,600,1800,2,Never had,NA,NA,Yes,Male,No,Yes,Never had,"Yes, sometimes",Yes,No,No,No,NA,NA,NA,NA,NA,NA,Yes,2,Never had,Never had,NA,NA,NA,Low
ID_JTCK00,D,46,No,No,No,No,Yes,500,6000,12000,20,Never had,Have now,NA,Yes,Male,"Yes, sometimes",No,Never had,No,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,No,0,Never had,Have now,NA,NA,NA,Medium
ID_GS8O79,C,34,Yes,Yes,No,No,Don't know,150000,70000,150000,10,Never had,Have now,No,Yes,Male,"Yes, sometimes",No,Never had,Yes,Don?t know / doesn?t apply,Yes,No,NA,Yes,Yes,No,Never had,Never had,Never had,No,NA,Used to have but don't have now,Never had,No,NA,NA,Medium
ID_SWV5QD,B,35,No,No,No,Yes,Yes,97,97,97,10,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,No,Have now,Used to have but don't have now,Medium
ID_ZQY72W,A,49,Yes,No,No,Don't know,Yes,2000,2000,8000,10,Never had,Never had,Yes,Yes,Male,No,No,Never had,"Yes, sometimes",Don't Know,Yes,No,No,Yes,Yes,Yes,Never had,Never had,Never had,NA,5,Never had,Never had,NA,Never had,Never had,Low
ID_AF667Z,C,40,Don’t know or N/A,Don’t know or N/A,No,Don't know,Don't know,2850000,1550000,34200000,16,NA,Never had,No,Yes,Male,"Yes, sometimes",Yes,Never had,Yes,Don?t know / doesn?t apply,Yes,No,NA,Don't know,No,Yes,Never had,Never had,Have now,No,NA,NA,NA,Yes,NA,NA,Medium
ID_P03KSG,C,56,Yes,Yes,No,Don't know,Yes,500000,4000000,6000000,7,NA,Never had,No,No,Male,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,NA,Yes,Yes,No,Never had,Never had,Never had,Yes,NA,NA,NA,Yes,NA,NA,Low
ID_TU0CGF,C,31,Yes,No,No,No,Yes,30000,100000,120000,2,NA,Have now,Yes,Yes,Female,No,Yes,Never had,Yes,Yes,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,No,NA,NA,NA,No,Have now,Never had,Medium
ID_TVMK2Z,A,30,Yes,Yes,Yes,No,Yes,500,4550,150,1,Never had,Never had,0,Yes,Male,No,No,Never had,"Yes, sometimes",No,Yes,No,Don't know,Yes,NA,NA,Never had,Never had,Never had,NA,6,Never had,Never had,NA,Never had,Used to have but don’t have now,Low
ID_4N1XL8,B,75,Yes,No,No,Yes,Yes,2000,400,700,3,Never had,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Used to have but don't have now,Never had,Medium
ID_Y08P0F,A,37,Yes,Yes,No,No,No,700,500,1000,1,Never had,Never had,Yes,No,Female,"Yes, sometimes",Yes,Never had,No,No,No,No,Don't know,Yes,Yes,Yes,Never had,Never had,Never had,NA,11,Never had,Never had,NA,Never had,Never had,Low
ID_OBCK3E,C,25,Yes,No,Don’t know,No,No,80000,8000,5470000,3,NA,Have now,No,Yes,Female,No,Yes,Never had,No,No,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,Yes,NA,NA,NA,Yes,NA,NA,Low
ID_1NLC8J,A,26,No,No,No,Yes,Yes,500,2400,8400,2,Never had,Never had,Yes,Yes,Male,No,No,Never had,No,Yes,No,No,Don't know,Yes,NA,Yes,Never had,Never had,Never had,NA,3,Never had,Never had,NA,Never had,Never had,Low
ID_1AT7O7,A,31,Yes,Yes,No,No,Yes,3500,625,42000,2,Never had,Never had,Yes,Yes,Female,"Yes, sometimes",No,Have now,"Yes, always",No,Yes,No,No,Yes,Yes,Yes,Never had,Never had,Never had,NA,4,Never had,Have now,NA,Never had,Never had,High
ID_ZTE44R,C,39,No,No,No,Yes,Yes,80000,15000,30000,1,NA,Never had,No,Yes,Female,"Yes, sometimes",Yes,Never had,Yes,Yes,No,No,NA,Yes,No,No,Never had,Never had,Never had,No,NA,NA,NA,Yes,Never had,Never had,Low
ID_FRI7FZ,B,25,Yes,Yes,No,No,Yes,1500,500,3000,2,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,Yes,No,Yes,Never had,Used to have but don't have now,Never had,Yes,NA,NA,NA,Yes,Never had,Used to have but don't have now,Medium
ID_UA9O6H,B,34,No,Yes,No,No,No,3000,200,600,1,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,Yes,No,NA,NA,NA,NA,Yes,NA,NA,NA,No,Used to have but don't have now,Used to have but don't have now,Low
ID_3RMZM4,B,28,Yes,No,No,Don't know,Yes,1000,200,700,1,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,Yes,No,Yes,Used to have but don't have now,Used to have but don't have now,Used to have but don't have now,NA,NA,NA,NA,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_90DPIM,C,43,Yes,No,No,Don't know,Don't know,304200,70000,3650000,9,NA,Never had,No,Yes,Male,"Yes, sometimes",Yes,Never had,Yes,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,NA,Yes,No,No,Never had,Never had,Never had,No,NA,NA,NA,No,NA,NA,Low
ID_NLS4SZ,B,24,Yes,No,No,No,Yes,3000,1500,3000,1,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,No,Used to have but don't have now,Used to have but don't have now,Low
ID_N9WSZV,A,33,No,No,No,No,Yes,700,6000,18000,3,Never had,Never had,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,No,No,No,Yes,Yes,Yes,NA,Never had,Never had,Never had,NA,11,Never had,Never had,NA,Have now,Never had,Low
ID_K2P3AJ,A,54,No,No,No,No,Yes,2700,7300,120000,6,Never had,Have now,Yes,Yes,Female,"Yes, sometimes",No,Have now,"Yes, always",Yes,No,No,No,Yes,Yes,Yes,Have now,Never had,Have now,NA,3,Never had,Have now,NA,Never had,Used to have but don’t have now,High
ID_363DHT,B,44,No,Yes,No,Don't know,Don't know,800,500,1000,3,Never had,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,No,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,Have now,Used to have but don't have now,High
ID_KCZF2T,B,43,Yes,Yes,No,Yes,No,6000,2000,3200,11,Never had,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,No,Never had,Never had,Medium
ID_TWT2I9,A,57,Yes,Yes,Yes,No,Yes,4200,48000,50400,15,Never had,Have now,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,No,No,No,Yes,Yes,NA,NA,Never had,Never had,Never had,NA,9,Never had,Have now,NA,Never had,Never had,Medium
ID_BBKV0X,B,22,Yes,No,No,Yes,No,8000,1000,1700,1,Never had,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,Used to have but don't have now,Used to have but don't have now,Low
ID_7Z5Q8P,B,41,No,No,Don’t know,Don't know,Don't know,2600,1400,2600,11,Never had,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Have now,Used to have but don't have now,Medium
ID_HRULHH,B,56,Yes,No,No,Don't know,Don't know,400,100,400,15,Never had,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_8B6J39,B,61,Yes,No,No,No,Yes,97,97,97,5,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,Used to have but don't have now,Used to have but don't have now,Have now,NA,NA,NA,NA,No,Used to have but don't have now,Never had,Low
ID_3IBG3H,A,44,No,No,No,No,Yes,3000,2000,40000,2,Never had,Never had,0,Yes,Female,"Yes, sometimes",No,Never had,"Yes, always",Yes,Yes,No,No,Yes,NA,Yes,Have now,Never had,Never had,NA,11,Never had,Never had,NA,Have now,Never had,Medium
ID_4P220X,C,36,Don’t know or N/A,Yes,No,Don't know,Don't know,110000,360000,660000,5,NA,Have now,No,Yes,Male,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,NA,Yes,Yes,No,Never had,Never had,Never had,Yes,NA,NA,NA,Yes,Never had,Never had,Low
ID_AUXZ8K,D,58,Yes,No,No,Yes,Yes,100,1440,3000,12,Never had,NA,NA,Yes,Female,"Yes, sometimes",No,Never had,"Yes, always",Yes,Yes,No,Yes,NA,NA,NA,NA,NA,NA,Yes,0,Never had,Have now,Yes,NA,NA,Medium
ID_JXQKD8,A,30,No,No,No,No,Yes,850,1000,2000,2,Never had,Have now,0,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, always",No,No,No,Don't know,Yes,NA,Yes,Never had,Never had,Never had,NA,6,Never had,Never had,NA,Never had,Never had,Low
ID_0TT5IQ,D,31,Yes,Yes,Don’t know,No,No,50,600,600,3,Never had,NA,NA,Yes,Female,"Yes, sometimes",No,Never had,No,Don't know,Yes,No,No,NA,NA,NA,NA,NA,NA,Yes,0,Never had,Have now,Yes,NA,NA,Medium
ID_D0Y4Q9,C,39,Don’t know or N/A,Yes,No,No,No,84000,500000,720000,2,NA,Never had,Yes,Yes,Female,"Yes, sometimes",No,Never had,Yes,Don?t know / doesn?t apply,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,Yes,NA,NA,NA,Yes,Never had,Never had,Low
ID_4MWPMI,C,32,Yes,Yes,No,Yes,Yes,105000,7000,10000,2,NA,Never had,No,Yes,Female,"Yes, sometimes",Yes,Never had,Yes,Yes,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,No,NA,NA,NA,Yes,NA,NA,Low
ID_IS2JC2,B,41,Yes,No,No,No,Yes,5000,1500,2000,2,Never had,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Used to have but don't have now,Used to have but don't have now,Medium
ID_JNN0DY,B,64,Yes,No,No,No,Yes,1000,1000,3500,30,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,Used to have but don't have now,Have now,Have now,NA,NA,NA,NA,Yes,Used to have but don't have now,Used to have but don't have now,Low
